"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:02:42.6840260 PM","notepad++.exe","8276","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","CreationTime: 12/20/2021 6:49:10 PM, LastAccessTime: 12/20/2021 7:02:42 PM, LastWriteTime: 12/20/2021 7:02:38 PM, ChangeTime: 12/20/2021 7:02:38 PM, FileAttributes: A"
"7:02:42.6840326 PM","notepad++.exe","8276","CloseFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6840431 PM","notepad++.exe","8276","IRP_MJ_CLOSE","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6840872 PM","notepad++.exe","8276","QueryOpen","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","FAST IO DISALLOWED",""
"7:02:42.6841195 PM","notepad++.exe","8276","CreateFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:02:42.6841299 PM","notepad++.exe","8276","QueryNetworkOpenInformationFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","CreationTime: 12/20/2021 6:49:10 PM, LastAccessTime: 12/20/2021 7:02:42 PM, LastWriteTime: 12/20/2021 7:02:38 PM, ChangeTime: 12/20/2021 7:02:38 PM, AllocationSize: 1/1/1601 1:00:00 AM, EndOfFile: 1/1/1601 1:00:00 AM, FileAttributes: A"
"7:02:42.6841361 PM","notepad++.exe","8276","CloseFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6841463 PM","notepad++.exe","8276","IRP_MJ_CLOSE","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6853893 PM","notepad++.exe","8276","QueryOpen","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","FAST IO DISALLOWED",""
"7:02:42.6854236 PM","notepad++.exe","8276","CreateFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:02:42.6854378 PM","notepad++.exe","8276","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","CreationTime: 12/20/2021 6:49:10 PM, LastAccessTime: 12/20/2021 7:02:42 PM, LastWriteTime: 12/20/2021 7:02:38 PM, ChangeTime: 12/20/2021 7:02:38 PM, FileAttributes: A"
"7:02:42.6854451 PM","notepad++.exe","8276","CloseFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6854579 PM","notepad++.exe","8276","IRP_MJ_CLOSE","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6854982 PM","notepad++.exe","8276","QueryOpen","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","FAST IO DISALLOWED",""
"7:02:42.6855297 PM","notepad++.exe","8276","CreateFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:02:42.6855400 PM","notepad++.exe","8276","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","CreationTime: 12/20/2021 6:49:10 PM, LastAccessTime: 12/20/2021 7:02:42 PM, LastWriteTime: 12/20/2021 7:02:38 PM, ChangeTime: 12/20/2021 7:02:38 PM, FileAttributes: A"
"7:02:42.6855466 PM","notepad++.exe","8276","CloseFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6855574 PM","notepad++.exe","8276","IRP_MJ_CLOSE","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6856116 PM","notepad++.exe","8276","QueryOpen","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","FAST IO DISALLOWED",""
"7:02:42.6856464 PM","notepad++.exe","8276","CreateFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:02:42.6856584 PM","notepad++.exe","8276","QueryNetworkOpenInformationFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","CreationTime: 12/20/2021 6:49:10 PM, LastAccessTime: 12/20/2021 7:02:42 PM, LastWriteTime: 12/20/2021 7:02:38 PM, ChangeTime: 12/20/2021 7:02:38 PM, AllocationSize: 1/1/1601 1:00:00 AM, EndOfFile: 1/1/1601 1:00:00 AM, FileAttributes: A"
"7:02:42.6856652 PM","notepad++.exe","8276","CloseFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
